,humans,lat,lon
525,,46.90758580000001,142.74812194981251
526,,46.9075418,142.74879899460626
527,,46.90789965,142.7484025438206
528,,46.9081743,142.74756749050445
529,,46.9083318,142.74788427039874
530,,46.90831245,142.74740692838864
531,,46.90849245,142.74779184654244
532,12,46.928311,142.7592369
533,12,46.928311,142.7592369
534,12,46.928311,142.7592369
535,12,46.928311,142.7592369
536,132,46.95485205,142.75526551192746
537,16,46.9524314,142.7313154
538,65,46.95339855,142.7435582467839
539,74,46.9532611,142.7420688
540,Нет,46.9524314,142.7313154
541,123,46.9553935,142.75411586516913
542,4,46.933291,142.75561345
543,Нет,46.9524314,142.7313154
544,18,46.9524314,142.7313154
545,Нет,46.9524314,142.7313154
546,46,46.95555895,142.7535118478645
547,124,46.9552859,142.75291780296402
548,,46.91706215,142.74320765169125
549,,46.9169033,142.7416496
550,11,46.91688475,142.74106590196172
551,,46.9178625,142.74223
552,115,46.9552595,142.7518186273242
553,5,46.91719505,142.74410329551068
554,89,46.95280545,142.7429259
555,227,46.9539738,142.74984654100143
556,,46.9178625,142.74223
557,,46.9178625,142.74223
558,,46.91669135,142.7402731
559,,46.917695,142.74098743946007
560,,46.9178625,142.74223
561,,46.9173493,142.74107044510777
562,,46.9092333,142.74905943049146
563,,46.9170092,142.7418239
564,,46.9443075,142.7310525
565,21,46.9825744,142.7299464
566,21,46.9825744,142.7299464
567,54,46.9806563,142.73058730000002
568,35,46.98134035,142.73004711435055
569,21,46.9825744,142.7299464
